===ARCS===
ID: 90, Start Node ID: 6, End Node ID: 1132, Left Polygon ID: 20, Right Polygon ID: 19, Points: [(38429562.9, 3739683.6145), (38429742.7294546, 3739683.6145)]
ID: 91, Start Node ID: 1132, End Node ID: 1035, Left Polygon ID: 378, Right Polygon ID: 380, Points: [(38429742.7294546, 3739683.6145), (38430008.3646869, 3739683.6145)]
ID: 92, Start Node ID: 1035, End Node ID: 979, Left Polygon ID: 4, Right Polygon ID: 359, Points: [(38430008.3646869, 3739683.6145), (38430194.6556401, 3739683.6145)]
ID: 93, Start Node ID: 979, End Node ID: 981, Left Polygon ID: 343, Right Polygon ID: 360, Points: [(38430194.6556401, 3739683.6145), (38430207.8463216, 3739683.6145)]
ID: 94, Start Node ID: 981, End Node ID: 1038, Left Polygon ID: 363, Right Polygon ID: 359, Points: [(38430207.8463216, 3739683.6145), (38430329.5638801, 3739683.6145)]
ID: 95, Start Node ID: 1038, End Node ID: 1040, Left Polygon ID: 386, Right Polygon ID: 380, Points: [(38430329.5638801, 3739683.6145), (38430336.1118881, 3739683.6145)]
ID: 96, Start Node ID: 1040, End Node ID: 983, Left Polygon ID: 363, Right Polygon ID: 367, Points: [(38430336.1118881, 3739683.6145), (38430445.671117, 3739683.6145)]
ID: 97, Start Node ID: 983, End Node ID: 928, Left Polygon ID: 343, Right Polygon ID: 345, Points: [(38430445.671117, 3739683.6145), (38430888.0941945, 3739683.6145)]
ID: 98, Start Node ID: 928, End Node ID: 844, Left Polygon ID: 329, Right Polygon ID: 331, Points: [(38430888.0941945, 3739683.6145), (38430957.4150817, 3739683.6145)]
ID: 99, Start Node ID: 844, End Node ID: 786, Left Polygon ID: 315, Right Polygon ID: 317, Points: [(38430957.4150817, 3739683.6145), (38431287.4916682, 3739683.6145)]
ID: 100, Start Node ID: 786, End Node ID: 727, Left Polygon ID: 301, Right Polygon ID: 303, Points: [(38431287.4916682, 3739683.6145), (38431349.3817139, 3739683.6145)]
ID: 101, Start Node ID: 727, End Node ID: 671, Left Polygon ID: 287, Right Polygon ID: 288, Points: [(38431349.3817139, 3739683.6145), (38431445.7865374, 3739683.6145)]
ID: 102, Start Node ID: 671, End Node ID: 8, Left Polygon ID: 27, Right Polygon ID: 31, Points: [(38431445.7865374, 3739683.6145), (38431488.175, 3739683.6145)]
ID: 103, Start Node ID: 8, End Node ID: 607, Left Polygon ID: 26, Right Polygon ID: 25, Points: [(38431488.175, 3739683.6145), (38431795.1995591, 3739683.6145)]
ID: 104, Start Node ID: 607, End Node ID: 546, Left Polygon ID: 258, Right Polygon ID: 256, Points: [(38431795.1995591, 3739683.6145), (38431852.2467838, 3739683.6145)]
ID: 105, Start Node ID: 546, End Node ID: 574, Left Polygon ID: 244, Right Polygon ID: 241, Points: [(38431852.2467838, 3739683.6145), (38431943.9127708, 3739683.6145)]
ID: 106, Start Node ID: 574, End Node ID: 576, Left Polygon ID: 265, Right Polygon ID: 264, Points: [(38431943.9127708, 3739683.6145), (38432037.2730548, 3739683.6145)]
ID: 107, Start Node ID: 576, End Node ID: 502, Left Polygon ID: 244, Right Polygon ID: 241, Points: [(38432037.2730548, 3739683.6145), (38432228.3468668, 3739683.6145)]
ID: 108, Start Node ID: 502, End Node ID: 465, Left Polygon ID: 225, Right Polygon ID: 22, Points: [(38432228.3468668, 3739683.6145), (38432772.5143966, 3739683.6145)]
